council_name,tel_phone,ceo_name,postcode,fax,mayor,email,website,address
Mansfield Shire Council,5775 8555,Ms Kirsten Alexander,3722,5775 2677,Cr Steve Rabie,council@mansfield.vic.gov.au,www.mansfield.vic.gov.au,"33 Highett Street, MANSFIELD, Private Bag 1000, MANSFIELD  3724"
Maribyrnong City Council,9688 0200,Ms Celia Haddock,3011,9687 7793,Cr Pradeep Tiwari,email@maribyrnong.vic.gov.au,www.maribyrnong.vic.gov.au,"61 Napier St, FOOTSCRAY, PO Box 58, WEST FOOTSCRAY  3012"
Maroondah City Council,1300 882 233,Mr Steve Kozlowski,3134,9298 4345,Cr Kylie Spears,maroondah@maroondah.vic.gov.au,www.maroondah.vic.gov.au,"Realm, 179 Maroondah Highway, RINGWOOD, PO Box 156, RINGWOOD  3134"
Melbourne City Council,9658 9658,Ms Alison Leighton,3000,9654 4854,Cr Nicholas Reece,enquiries@melbourne.vic.gov.au,www.melbourne.vic.gov.au,"Town Hall, 120 Swanston St, MELBOURNE, GPO Box 1603, MELBOURNE  3001"
Melton City Council,9747 7200,Ms Roslyn Wai,3337,9743 9970,Cr Steve Abboushi,csu@melton.vic.gov.au,www.melton.vic.gov.au,"232 High Street, MELTON, PO Box 21, MELTON  3337"
Merri-bek City Council,9240 1111,Ms Cathy Henderson,3058,,Cr Helen Davidson,info@merri-bek.vic.gov.au,www.merri-bek.vic.gov.au,"90 Bell Street, COBURG, Locked Bag 10, BRUNSWICK  3056"
Mildura Rural City Council,5018 8100,Mr Martin Hawson,3500,5021 1899,Cr Helen Healy,mrcc@mildura.vic.gov.au,www.mildura.vic.gov.au,"108-116 Madden Avenue, MILDURA, PO Box 105, MILDURA  3502"
Mitchell Shire Council,5734 6200,Ms Mary Agostino,3658,5734 6222,Cr John Dougall,mitchell@mitchellshire.vic.gov.au,www.mitchellshire.vic.gov.au,"113 High Street, BROADFORD, 113 High Street, BROADFORD  3658"
Moira Shire Council,5871 9222,Mr Matthew Morgan,3643,5872 1567,Dr Graeme Emonson PSM,info@moira.vic.gov.au,www.moira.vic.gov.au,"44 Station Street, COBRAM, PO Box 578, COBRAM  3643"
Monash City Council,9518 3555,Dr Andi Diamond,3150,9518 3444,Cr Paul Klisaris,mail@monash.vic.gov.au,www.monash.vic.gov.au,"293 Springvale Road, GLEN WAVERLEY, PO Box 1, GLEN WAVERLEY  3150"
Moonee Valley City Council,9243 8888,Ms Helen Sui,3039,,Cr Ava Adams,council@mvcc.vic.gov.au,"www.mvcc.vic.gov.au ","9 Kellaway Avenue, MOONEE PONDS, PO Box 126, MOONEE PONDS  3039"
Moorabool Shire Council,5366 7100,Mr Derek Madden,3342,,Cr Paul Tatchell,info@moorabool.vic.gov.au,"www.moorabool.vic.gov.au ","15 Stead Street, BALLAN, PO Box 18, BALLAN  3342"
Mornington Peninsula Shire Council,1300 850 600,Mr Bulent Oz,3939,5986 6696,Cr Anthony Marsh,customerservice@mornpen.vic.gov.au,www.mornpen.vic.gov.au,"90 Besgrove Street, ROSEBUD, Private Bag 1000, ROSEBUD  3939"
Mount Alexander Shire Council,5471 1700,Mr Darren Fuzzard,3450,,Cr Rosie Annear,info@mountalexander.vic.gov.au,www.mountalexander.vic.gov.au,"Cnr Lyttleton & Lloyd Streets, CASTLEMAINE, PO Box 185, CASTLEMAINE  3450"
Moyne Shire Council,5568 0555,Mr Mark Eversteyn,3284,5568 2515,Cr Karen Foster,moyne@moyne.vic.gov.au,www.moyne.vic.gov.au,"Princes Street, PORT FAIRY, PO Box 51, PORT FAIRY  3284"
Murrindindi Shire Council,5772 0333,Ms Livia Bonazzi,3714,5772 2291,Cr Damien Gallagher,msc@murrindindi.vic.gov.au,www.murrindindi.vic.gov.au,"28 Perkins Street, ALEXANDRA, PO Box 138, ALEXANDRA  3714"
Nillumbik Shire Council,9433 3111,Mr Carl Cowie,3088,,Cr John Dumaresq,nillumbik@nillumbik.vic.gov.au,www.nillumbik.vic.gov.au,"Civic Drive, GREENSBOROUGH, PO Box 476, GREENSBOROUGH  3088"
Northern Grampians Shire Council,5358 8700,Mr Brent McAlister,3380,,Cr Karen Hyslop,ngshire@ngshire.vic.gov.au,www.ngshire.vic.gov.au,"59-69 Main Street , STAWELL, PO Box 580, STAWELL  3380"
Port Phillip City Council,9209 6777,Mr Chris Carroll,3182,9534 9105,Cr Louise Crawford," NO GENERAL EMAIL",www.portphillip.vic.gov.au,"99a Carlisle Street, ST KILDA, Private Bag 3, ST KILDA  3182"
Pyrenees Shire Council,5349 1100,Mr Jim Nolan,3373,5349 2068,Cr Tanya Kehoe,pyrenees@pyrenees.vic.gov.au,www.pyrenees.vic.gov.au,"5 Lawrence Street, BEAUFORT, 5 Lawrence Street, BEAUFORT  3373"
Southern Grampians Shire Council,5573 0444,Mr Tony Doyle,3300,,Cr Dennis Heslin,council@sthgrampians.vic.gov.au,www.sthgrampians.vic.gov.au,"111 Brown Street, HAMILTON, Locked Bag 685, HAMILTON  3300"
South Gippsland Shire Council,5662 9200,Allison Jones,3953,,Cr John Schelling,council@southgippsland.vic.gov.au,www.southgippsland.vic.gov.au,"9 Smith Street, LEONGATHA, Private Bag 4, LEONGATHA  3953"
Stonnington City Council,8290 1333,Mr Dale Dickson,3144,,Cr Melina Sehr,council@stonnington.vic.gov.au,www.stonnington.vic.gov.au,"311 Glenferrie Road, MALVERN, PO Box 58, MALVERN  3144"
Strathbogie Shire Council,5795 0000,Mr Tim Tamlin,3666,5795 3550,Cr Claire Ewart-Kennedy,info@strathbogie.vic.gov.au,www.strathbogie.vic.gov.au,"109A Binney Street, EUROA, PO Box 177, EUROA  3666"
Surf Coast Shire Council,5261 0600,Ms Robyn Seymour,3228,5261 0525,Cr Mike Bodsworth,info@surfcoast.vic.gov.au,www.surfcoast.vic.gov.au,"1 Merrijig Drive, TORQUAY, PO Box 350, TORQUAY  3228"
Swan Hill Rural City Council,5036 2333,Mr Scott Barber,3585,5036 2340,Cr Stuart King,council@swanhill.vic.gov.au,www.swanhill.vic.gov.au,"45 Splatt Street, SWAN HILL, PO Box 488, SWAN HILL  3585"
Towong Shire Council,02 6071 5100,Ms Juliana Phelps,3700,,Cr Andrew Whitehead,info@towong.vic.gov.au,www.towong.vic.gov.au,"32 Towong Street, TALLANGATTA, PO Box 55, TALLANGATTA  3700"
Wangaratta Rural City Council,5722 0888,Mr Brendan McGrath,3677,5721 9526,Cr Irene Grant,council@wangaratta.vic.gov.au,www.wangaratta.vic.gov.au,"Cnr Ford & Ovens Streets, WANGARATTA, PO Box 238, WANGARATTA  3676"
Warrnambool City Council,5559 4800,Mr Andrew Mason,3280,5559 4900,Cr Ben Blain,wbool_city@warrnambool.vic.gov.au,www.warrnambool.vic.gov.au,"25 Liebig Street, WARRNAMBOOL, PO Box 198, WARRNAMBOOL  3280"
Wellington Shire Council,1300 366 244,Mr David Morcom,3850,5142 3501,Cr Scott Rossetti,enquiries@wellington.vic.gov.au,www.wellington.vic.gov.au,"18 Desailly Street, SALE, PO Box 506, SALE  3850"
West Wimmera Shire Council,13 99 72 / 5585 9900,Mr David Bezuidenhout,3318,5585 9950,Cr Tim Meyer,council@westwimmera.vic.gov.au,www.westwimmera.vic.gov.au,"49 Elizabeth Street, EDENHOPE, PO Box 201, EDENHOPE  3318"
Whitehorse City Council,9262 6333,Mr Simon McMillan,3131,9262 6490,Cr Andrew Davenport,customer.service@whitehorse.vic.gov.au,www.whitehorse.vic.gov.au,"379-399 Whitehorse Road, NUNAWADING, Locked Bag 2, NUNAWADING  3131"
Whittlesea City Council,9217 2170,Mr Craig Lloyd,3752,9409 9800,Cr Aidan McLindon,info@whittlesea.vic.gov.au,www.whittlesea.vic.gov.au,"25 Ferres Boulevard, SOUTH MORANG, Locked Bag 1, BUNDOORA MDC  3083"
Wodonga City Council,02 6022 9300,Mr Matt Hyde,3690,02 6022 9322,Cr Michael Gobel,info@wodonga.vic.gov.au,www.wodonga.vic.gov.au,"104 Hovell Street, WODONGA, PO Box 923, WODONGA  3689"
Wyndham City Council,1300 023 411,Mr Stephen Wall,3030,,Cr Mia Shaw,mail@wyndham.vic.gov.au,www.wyndham.vic.gov.au,"45 Princes Highway, WERRIBEE, PO Box 197, WERRIBEE  3030"
Yarra City Council,9205 5555,Ms Sue Wilkinson,3121,,Cr Stephen Jolly,info@yarracity.vic.gov.au,www.yarracity.vic.gov.au,"333 Bridge Road, RICHMOND, PO Box 168, RICHMOND  3121"
Yarra Ranges Shire Council,1300 368 333,Ms Tammi Rose,3140,,Cr Jim Child,mail@yarraranges.vic.gov.au,www.yarraranges.vic.gov.au,"15 Anderson Street, LILYDALE, PO Box 105, LILYDALE  3140"
