council_name,tel_phone,ceo_name,postcode,fax,mayor,email,website,address
Yarra Ranges Shire Council,1300 368 333,Ms Tammi Rose,3793,,Cr Jim Child,mail@yarraranges.vic.gov.au,www.yarraranges.vic.gov.au,"15 Anderson Street, LILYDALE, PO Box 105, LILYDALE  3140"
Yarra Ranges Shire Council,1300 368 333,Ms Tammi Rose,3795,,Cr Jim Child,mail@yarraranges.vic.gov.au,www.yarraranges.vic.gov.au,"15 Anderson Street, LILYDALE, PO Box 105, LILYDALE  3140"
Moorabool Shire Council,5366 7100,Mr Derek Madden,3334,,Cr Paul Tatchell,info@moorabool.vic.gov.au,www.moorabool.vic.gov.au ,"15 Stead Street, BALLAN, PO Box 18, BALLAN  3342"
Horsham Rural City Council,5382 9777,Mr Craig Niemann,3400,5382 1111,Cr Ian Ross,council@hrcc.vic.gov.au,www.hrcc.vic.gov.au,"Civic Centre, Roberts Avenue, HORSHAM, PO Box 511, HORSHAM  3402"
Pyrenees Shire Council,5349 1100,Mr Jim Nolan,3373,5349 2068,Cr Tanya Kehoe,pyrenees@pyrenees.vic.gov.au,www.pyrenees.vic.gov.au,"5 Lawrence Street, BEAUFORT, 5 Lawrence Street, BEAUFORT  3373"
Gannawarra Shire Council,5450 9333,Mr Geoff Rollinson,3579,5450 3023,Cr Garner Smith,council@gsc.vic.gov.au,www.gsc.vic.gov.au,"47 Victoria Street, KERANG, PO Box 287, KERANG  3579"
Surf Coast Shire Council,5261 0600,Ms Robyn Seymour,3228,5261 0525,Cr Mike Bodsworth,info@surfcoast.vic.gov.au,www.surfcoast.vic.gov.au,"1 Merrijig Drive, TORQUAY, PO Box 350, TORQUAY  3228"
Wyndham City Council,1300 023 411,Mr Stephen Wall,3030,,Cr Mia Shaw,mail@wyndham.vic.gov.au,www.wyndham.vic.gov.au,"45 Princes Highway, WERRIBEE, PO Box 197, WERRIBEE  3030"
Greater Geelong City Council,5272 5272,Ms Ali Wastie ,3211,,Cr Dr Stretch Kontelj,COGGRecords@geelongcity.vic.gov.au,www.geelongaustralia.com.au,"Wurriki Nyal, 137-149 Mercer Street, GEELONG, PO Box 104, GEELONG  3220"
Moonee Valley City Council,9243 8888,Ms Helen Sui,3039,,Cr Ava Adams,council@mvcc.vic.gov.au,www.mvcc.vic.gov.au ,"9 Kellaway Avenue, MOONEE PONDS, PO Box 126, MOONEE PONDS  3039"
Maroondah City Council,1300 882 233,Mr Steve Kozlowski,3134,9298 4345,Cr Kylie Spears,maroondah@maroondah.vic.gov.au,www.maroondah.vic.gov.au,"Realm, 179 Maroondah Highway, RINGWOOD, PO Box 156, RINGWOOD  3134"
Knox City Council,9298 8000,Mr Bruce Dobson,3153,9800 3096,Cr Lisa Cooper,knoxcc@knox.vic.gov.au,www.knox.vic.gov.au,"511 Burwood Highway, WANTIRNA SOUTH, 511 Burwood Highway, WANTIRNA SOUTH  3152"
Mansfield Shire Council,5775 8555,Ms Kirsten Alexander,3722,5775 2677,Cr Steve Rabie,council@mansfield.vic.gov.au,www.mansfield.vic.gov.au,"33 Highett Street, MANSFIELD, Private Bag 1000, MANSFIELD  3724"
Knox City Council,9298 8000,Mr Bruce Dobson,3152,9800 3096,Cr Lisa Cooper,knoxcc@knox.vic.gov.au,www.knox.vic.gov.au,"511 Burwood Highway, WANTIRNA SOUTH, 511 Burwood Highway, WANTIRNA SOUTH  3152"
South Gippsland Shire Council,5662 9200,Allison Jones,3966,,Cr John Schelling,council@southgippsland.vic.gov.au,www.southgippsland.vic.gov.au,"9 Smith Street, LEONGATHA, Private Bag 4, LEONGATHA  3953"
Maroondah City Council,1300 882 233,Mr Steve Kozlowski,3135,9298 4345,Cr Kylie Spears,maroondah@maroondah.vic.gov.au,www.maroondah.vic.gov.au,"Realm, 179 Maroondah Highway, RINGWOOD, PO Box 156, RINGWOOD  3134"
Merri-bek City Council,9240 1111,Ms Cathy Henderson,3055,,Cr Helen Davidson,info@merri-bek.vic.gov.au,www.merri-bek.vic.gov.au,"90 Bell Street, COBURG, Locked Bag 10, BRUNSWICK  3056"
Strathbogie Shire Council,5795 0000,Mr Tim Tamlin,3665,5795 3550,Cr Claire Ewart-Kennedy,info@strathbogie.vic.gov.au,www.strathbogie.vic.gov.au,"109A Binney Street, EUROA, PO Box 177, EUROA  3666"
Strathbogie Shire Council,5795 0000,Mr Tim Tamlin,3664,5795 3550,Cr Claire Ewart-Kennedy,info@strathbogie.vic.gov.au,www.strathbogie.vic.gov.au,"109A Binney Street, EUROA, PO Box 177, EUROA  3666"
Merri-bek City Council,9240 1111,Ms Cathy Henderson,3044,,Cr Helen Davidson,info@merri-bek.vic.gov.au,www.merri-bek.vic.gov.au,"90 Bell Street, COBURG, Locked Bag 10, BRUNSWICK  3056"
Hepburn Shire Council,5348 2306,Mr Bradley Thomas,3364,,Cr Don Henderson,shire@hepburn.vic.gov.au,www.hepburn.vic.gov.au,"76 Vincent Street, DAYLESFORD, PO Box 21, DAYLESFORD  3460"
Mount Alexander Shire Council,5471 1700,Mr Darren Fuzzard,3462,,Cr Rosie Annear,info@mountalexander.vic.gov.au,www.mountalexander.vic.gov.au,"Cnr Lyttleton & Lloyd Streets, CASTLEMAINE, PO Box 185, CASTLEMAINE  3450"
Mount Alexander Shire Council,5471 1700,Mr Darren Fuzzard,3463,,Cr Rosie Annear,info@mountalexander.vic.gov.au,www.mountalexander.vic.gov.au,"Cnr Lyttleton & Lloyd Streets, CASTLEMAINE, PO Box 185, CASTLEMAINE  3450"
Mount Alexander Shire Council,5471 1700,Mr Darren Fuzzard,3447,,Cr Rosie Annear,info@mountalexander.vic.gov.au,www.mountalexander.vic.gov.au,"Cnr Lyttleton & Lloyd Streets, CASTLEMAINE, PO Box 185, CASTLEMAINE  3450"
Hepburn Shire Council,5348 2306,Mr Bradley Thomas,3446,,Cr Don Henderson,shire@hepburn.vic.gov.au,www.hepburn.vic.gov.au,"76 Vincent Street, DAYLESFORD, PO Box 21, DAYLESFORD  3460"
Mornington Peninsula Shire Council,1300 850 600,Mr Bulent Oz,3940,5986 6696,Cr Anthony Marsh,customerservice@mornpen.vic.gov.au,www.mornpen.vic.gov.au,"90 Besgrove Street, ROSEBUD, Private Bag 1000, ROSEBUD  3939"
Yarra City Council,9205 5555,Ms Sue Wilkinson,3067,,Cr Stephen Jolly,info@yarracity.vic.gov.au,www.yarracity.vic.gov.au,"333 Bridge Road, RICHMOND, PO Box 168, RICHMOND  3121"
Colac Otway Shire Council,5232 9400,Ms Anne Howard,3236,5232 1046,Cr Jason Schram,inq@colacotway.vic.gov.au,www.colacotway.vic.gov.au,"2-6 Rae Street, COLAC, PO Box 283, COLAC  3250"
Mitchell Shire Council,5734 6200,Ms Mary Agostino,3756,5734 6222,Cr John Dougall,mitchell@mitchellshire.vic.gov.au,www.mitchellshire.vic.gov.au,"113 High Street, BROADFORD, 113 High Street, BROADFORD  3658"
Darebin City Council,8470 8888,Mr Michael Tudball,3072,,Cr Kristine Olaris,mailbox@darebin.vic.gov.au,www.darebin.vic.gov.au,"274 Gower Street, PRESTON, PO Box 91, PRESTON  3072"
Greater Dandenong City Council,8571 1000,Ms Jacqui Weatherill,3175,8571 5196,Cr Jim Memeti,council@cgd.vic.gov.au,www.greaterdandenong.com,"225 Lonsdale Street, DANDENONG, PO Box 200, DANDENONG  3175"
Southern Grampians Shire Council,5573 0444,Mr Tony Doyle,3301,,Cr Dennis Heslin,council@sthgrampians.vic.gov.au,www.sthgrampians.vic.gov.au,"111 Brown Street, HAMILTON, Locked Bag 685, HAMILTON  3300"
Moyne Shire Council,5568 0555,Mr Mark Eversteyn,3285,5568 2515,Cr Karen Foster,moyne@moyne.vic.gov.au,www.moyne.vic.gov.au,"Princes Street, PORT FAIRY, PO Box 51, PORT FAIRY  3284"
Moyne Shire Council,5568 0555,Mr Mark Eversteyn,3279,5568 2515,Cr Karen Foster,moyne@moyne.vic.gov.au,www.moyne.vic.gov.au,"Princes Street, PORT FAIRY, PO Box 51, PORT FAIRY  3284"
Mornington Peninsula Shire Council,1300 850 600,Mr Bulent Oz,3941,5986 6696,Cr Anthony Marsh,customerservice@mornpen.vic.gov.au,www.mornpen.vic.gov.au,"90 Besgrove Street, ROSEBUD, Private Bag 1000, ROSEBUD  3939"
Murrindindi Shire Council,5772 0333,Ms Livia Bonazzi,3763,5772 2291,Cr Damien Gallagher,msc@murrindindi.vic.gov.au,www.murrindindi.vic.gov.au,"28 Perkins Street, ALEXANDRA, PO Box 138, ALEXANDRA  3714"
Banyule City Council,9490 4222,Ms Allison Beckwith,3081,9499 9475,Cr Elizabeth Nealy,enquiries@banyule.vic.gov.au,www.banyule.vic.gov.au,"1 Flintoff Street, GREENSBOROUGH, PO Box 94, GREENSBOROUGH  3088"
Hume City Council,9205 2200,Ms Sheena Frost,3061,9309 0109,Cr Jarrod Bell,contactus@hume.vic.gov.au,www.hume.vic.gov.au,"1079 Pascoe Vale Road, BROADMEADOWS, PO Box 119, DALLAS  3047"
Whittlesea City Council,9217 2170,Mr Craig Lloyd,3074,9409 9800,Cr Aidan McLindon,info@whittlesea.vic.gov.au,www.whittlesea.vic.gov.au,"25 Ferres Boulevard, SOUTH MORANG, Locked Bag 1, BUNDOORA MDC  3083"
Manningham City Council,9840 9333,Mr Andrew Day,3105,9848 3110,Cr Deirdre Diamante,manningham@manningham.vic.gov.au,www.manningham.vic.gov.au,"699 Doncaster Road, DONCASTER, PO Box 1, DONCASTER  3108"
Yarra City Council,9205 5555,Ms Sue Wilkinson,3068,,Cr Stephen Jolly,info@yarracity.vic.gov.au,www.yarracity.vic.gov.au,"333 Bridge Road, RICHMOND, PO Box 168, RICHMOND  3121"
Whittlesea City Council,9217 2170,Mr Craig Lloyd,3083,9409 9800,Cr Aidan McLindon,info@whittlesea.vic.gov.au,www.whittlesea.vic.gov.au,"25 Ferres Boulevard, SOUTH MORANG, Locked Bag 1, BUNDOORA MDC  3083"
Whittlesea City Council,9217 2170,Mr Craig Lloyd,3075,9409 9800,Cr Aidan McLindon,info@whittlesea.vic.gov.au,www.whittlesea.vic.gov.au,"25 Ferres Boulevard, SOUTH MORANG, Locked Bag 1, BUNDOORA MDC  3083"
Moorabool Shire Council,5366 7100,Mr Derek Madden,3340,,Cr Paul Tatchell,info@moorabool.vic.gov.au,www.moorabool.vic.gov.au ,"15 Stead Street, BALLAN, PO Box 18, BALLAN  3342"
Banyule City Council,9490 4222,Ms Allison Beckwith,3093,9499 9475,Cr Elizabeth Nealy,enquiries@banyule.vic.gov.au,www.banyule.vic.gov.au,"1 Flintoff Street, GREENSBOROUGH, PO Box 94, GREENSBOROUGH  3088"
Banyule City Council,9490 4222,Ms Allison Beckwith,3087,9499 9475,Cr Elizabeth Nealy,enquiries@banyule.vic.gov.au,www.banyule.vic.gov.au,"1 Flintoff Street, GREENSBOROUGH, PO Box 94, GREENSBOROUGH  3088"
Merri-bek City Council,9240 1111,Ms Cathy Henderson,3046,,Cr Helen Davidson,info@merri-bek.vic.gov.au,www.merri-bek.vic.gov.au,"90 Bell Street, COBURG, Locked Bag 10, BRUNSWICK  3056"
Cardinia Shire Council,1300 787 624,Ms Carol Jeffs,3781,,Cr Jack Kowarzik,mail@cardinia.vic.gov.au,www.cardinia.vic.gov.au,"20 Siding Avenue, OFFICER, PO Box 7, PAKENHAM  3810"
Hobsons Bay City Council,9932 1000,Ms Kerry Thompson,3015,9932 1039,Cr Daria Kellander,customerservice@hobsonsbay.vic.gov.au,www.hobsonsbay.vic.gov.au,"115 Civic Parade, ALTONA, PO Box 21, ALTONA  3018"
Greater Bendigo City Council,1300 002 642,Mr Andrew Cooney,3551,,Cr Andrea Metcalf,requests@bendigo.vic.gov.au,www.bendigo.vic.gov.au,"Galkangu–Bendigo GovHub, 189–229 Lyttleton Terrace, BENDIGO, PO Box 733, BENDIGO  3552"
Ballarat City Council,5320 5500,Mr Evan King,3352,5333 4061,Cr Tracey Hargreaves,info@ballarat.vic.gov.au,www.ballarat.vic.gov.au,"25 Armstrong Street South, BALLARAT, PO Box 655, BALLARAT  3353"
Brimbank City Council,9249 4000,Ms Fiona Blair,3022,9249 4351,Cr Thuy Dang,info@brimbank.vic.gov.au,www.brimbank.vic.gov.au,"Brimbank Community & Civic Centre, 301 Hampshire Rd, SUNSHINE, PO Box 70, SUNSHINE  3020"
Brimbank City Council,9249 4000,Ms Fiona Blair,3020,9249 4351,Cr Thuy Dang,info@brimbank.vic.gov.au,www.brimbank.vic.gov.au,"Brimbank Community & Civic Centre, 301 Hampshire Rd, SUNSHINE, PO Box 70, SUNSHINE  3020"
Boroondara City Council,9278 4444,Mr Phillip Storer,3147,9278 4466,Cr Sophie Torney,boroondara@boroondara.vic.gov.au,www.boroondara.vic.gov.au,"8 Inglesby Road, CAMBERWELL, Private Bag 1, CAMBERWELL  3124"
Greater Bendigo City Council,1300 002 642,Mr Andrew Cooney,3558,,Cr Andrea Metcalf,requests@bendigo.vic.gov.au,www.bendigo.vic.gov.au,"Galkangu–Bendigo GovHub, 189–229 Lyttleton Terrace, BENDIGO, PO Box 733, BENDIGO  3552"
Warrnambool City Council,5559 4800,Mr Andrew Mason,3280,5559 4900,Cr Ben Blain,wbool_city@warrnambool.vic.gov.au,www.warrnambool.vic.gov.au,"25 Liebig Street, WARRNAMBOOL, PO Box 198, WARRNAMBOOL  3280"
Wyndham City Council,1300 023 411,Mr Stephen Wall,3027,,Cr Mia Shaw,mail@wyndham.vic.gov.au,www.wyndham.vic.gov.au,"45 Princes Highway, WERRIBEE, PO Box 197, WERRIBEE  3030"
Swan Hill Rural City Council,5036 2333,Mr Scott Barber,3589,5036 2340,Cr Stuart King,council@swanhill.vic.gov.au,www.swanhill.vic.gov.au,"45 Splatt Street, SWAN HILL, PO Box 488, SWAN HILL  3585"
Bass Coast Shire Council,1300 BCOAST (226278),Mr Greg Box,3925,5671 2222,Cr Rochelle Halstead,basscoast@basscoast.vic.gov.au,www.basscoast.vic.gov.au,"76 McBride Avenue, WONTHAGGI, PO Box 118, WONTHAGGI  3995"
South Gippsland Shire Council,5662 9200,Allison Jones,3957,,Cr John Schelling,council@southgippsland.vic.gov.au,www.southgippsland.vic.gov.au,"9 Smith Street, LEONGATHA, Private Bag 4, LEONGATHA  3953"
Monash City Council,9518 3555,Dr Andi Diamond,3167,9518 3444,Cr Paul Klisaris,mail@monash.vic.gov.au,www.monash.vic.gov.au,"293 Springvale Road, GLEN WAVERLEY, PO Box 1, GLEN WAVERLEY  3150"
Campaspe Shire Council,5481 2200,Ms Pauline Gordon,3620,5481 2290,Cr Daniel Mackrell,shire@campaspe.vic.gov.au,www.campaspe.vic.gov.au,"Cnr Hare & Heygarth Streets, ECHUCA, PO Box 35, ECHUCA  3564"
Hume City Council,9205 2200,Ms Sheena Frost,3063,9309 0109,Cr Jarrod Bell,contactus@hume.vic.gov.au,www.hume.vic.gov.au,"1079 Pascoe Vale Road, BROADMEADOWS, PO Box 119, DALLAS  3047"
Wangaratta Rural City Council,5722 0888,Mr Brendan McGrath,3735,5721 9526,Cr Irene Grant,council@wangaratta.vic.gov.au,www.wangaratta.vic.gov.au,"Cnr Ford & Ovens Streets, WANGARATTA, PO Box 238, WANGARATTA  3676"
Hume City Council,9205 2200,Ms Sheena Frost,3049,9309 0109,Cr Jarrod Bell,contactus@hume.vic.gov.au,www.hume.vic.gov.au,"1079 Pascoe Vale Road, BROADMEADOWS, PO Box 119, DALLAS  3047"
Greater Shepparton City Council,5832 9700,Ms Fiona Le Gassick,3616,,Cr Shane Sali,council@shepparton.vic.gov.au,greatershepparton.com.au,"90 Welsford Street, SHEPPARTON, Locked Bag 1000, SHEPPARTON  3632"
Hepburn Shire Council,5348 2306,Mr Bradley Thomas,3363,,Cr Don Henderson,shire@hepburn.vic.gov.au,www.hepburn.vic.gov.au,"76 Vincent Street, DAYLESFORD, PO Box 21, DAYLESFORD  3460"
Indigo Shire Council,5728 8000,Mr Trevor Ierino,3683,,Cr Sophie Price,info@indigoshire.vic.gov.au,www.indigoshire.vic.gov.au,"2 Kurrajong Way, BEECHWORTH, PO Box 28, BEECHWORTH  3747"
Glenelg Shire Council,1300 453 635,Ms Helen Havercroft,3309,,Cr Karen Stephens,enquiry@glenelg.vic.gov.au,www.glenelg.vic.gov.au,"71 Cliff Street, PORTLAND, PO Box 152, PORTLAND  3305"
Greater Shepparton City Council,5832 9700,Ms Fiona Le Gassick,3633,,Cr Shane Sali,council@shepparton.vic.gov.au,greatershepparton.com.au,"90 Welsford Street, SHEPPARTON, Locked Bag 1000, SHEPPARTON  3632"
Indigo Shire Council,5728 8000,Mr Trevor Ierino,3687,,Cr Sophie Price,info@indigoshire.vic.gov.au,www.indigoshire.vic.gov.au,"2 Kurrajong Way, BEECHWORTH, PO Box 28, BEECHWORTH  3747"
Ballarat City Council,5320 5500,Mr Evan King,3358,5333 4061,Cr Tracey Hargreaves,info@ballarat.vic.gov.au,www.ballarat.vic.gov.au,"25 Armstrong Street South, BALLARAT, PO Box 655, BALLARAT  3353"
Hume City Council,9205 2200,Ms Sheena Frost,3064,9309 0109,Cr Jarrod Bell,contactus@hume.vic.gov.au,www.hume.vic.gov.au,"1079 Pascoe Vale Road, BROADMEADOWS, PO Box 119, DALLAS  3047"
Colac Otway Shire Council,5232 9400,Ms Anne Howard,3234,5232 1046,Cr Jason Schram,inq@colacotway.vic.gov.au,www.colacotway.vic.gov.au,"2-6 Rae Street, COLAC, PO Box 283, COLAC  3250"
,,,3424,,,,,
Cardinia Shire Council,1300 787 624,Ms Carol Jeffs,3783,,Cr Jack Kowarzik,mail@cardinia.vic.gov.au,www.cardinia.vic.gov.au,"20 Siding Avenue, OFFICER, PO Box 7, PAKENHAM  3810"
Surf Coast Shire Council,5261 0600,Ms Robyn Seymour,3232,5261 0525,Cr Mike Bodsworth,info@surfcoast.vic.gov.au,www.surfcoast.vic.gov.au,"1 Merrijig Drive, TORQUAY, PO Box 350, TORQUAY  3228"
Kingston City Council,1300 653 356,Mr Peter Bean,3194,9581 4500,Cr Georgina Oxley,info@kingston.vic.gov.au,www.kingston.vic.gov.au,"1230 Nepean Highway, CHELTENHAM, PO Box 1000, MENTONE  3194"
Yarra Ranges Shire Council,1300 368 333,Ms Tammi Rose,3140,,Cr Jim Child,mail@yarraranges.vic.gov.au,www.yarraranges.vic.gov.au,"15 Anderson Street, LILYDALE, PO Box 105, LILYDALE  3140"
Casey City Council,9705 5200,Mr Glenn Patterson,3806,9704 9544,Cr Stefan Koomen,caseycc@casey.vic.gov.au,www.casey.vic.gov.au,"Bunjil Place, Patrick Northeast Drive, NARRE WARREN, PO Box 1000, NARRE WARREN  3805"
Monash City Council,9518 3555,Dr Andi Diamond,3149,9518 3444,Cr Paul Klisaris,mail@monash.vic.gov.au,www.monash.vic.gov.au,"293 Springvale Road, GLEN WAVERLEY, PO Box 1, GLEN WAVERLEY  3150"
Greater Geelong City Council,5272 5272,Ms Ali Wastie ,3216,,Cr Dr Stretch Kontelj,COGGRecords@geelongcity.vic.gov.au,www.geelongaustralia.com.au,"Wurriki Nyal, 137-149 Mercer Street, GEELONG, PO Box 104, GEELONG  3220"
Yarra Ranges Shire Council,1300 368 333,Ms Tammi Rose,3791,,Cr Jim Child,mail@yarraranges.vic.gov.au,www.yarraranges.vic.gov.au,"15 Anderson Street, LILYDALE, PO Box 105, LILYDALE  3140"
Murrindindi Shire Council,5772 0333,Ms Livia Bonazzi,3713,5772 2291,Cr Damien Gallagher,msc@murrindindi.vic.gov.au,www.murrindindi.vic.gov.au,"28 Perkins Street, ALEXANDRA, PO Box 138, ALEXANDRA  3714"
Alpine Shire Council,5755 0555,Mr Will Jeremy,3737,5755 1811,Cr Sarah Nicholas,info@alpineshire.vic.gov.au,www.alpineshire.vic.gov.au,"Great Alpine Road, BRIGHT, PO Box 139, BRIGHT  3741"
Swan Hill Rural City Council,5036 2333,Mr Scott Barber,3588,5036 2340,Cr Stuart King,council@swanhill.vic.gov.au,www.swanhill.vic.gov.au,"45 Splatt Street, SWAN HILL, PO Box 488, SWAN HILL  3585"
,,,3393,,,,,
Greater Bendigo City Council,1300 002 642,Mr Andrew Cooney,3556,,Cr Andrea Metcalf,requests@bendigo.vic.gov.au,www.bendigo.vic.gov.au,"Galkangu–Bendigo GovHub, 189–229 Lyttleton Terrace, BENDIGO, PO Box 733, BENDIGO  3552"
East Gippsland Shire Council,5153 9500,Ms Fiona Weigall,3893,,Cr John White,feedback@egipps.vic.gov.au,www.eastgippsland.vic.gov.au,"273 Main Street, BAIRNSDALE, PO Box 1618, BAIRNSDALE  3875"
Mitchell Shire Council,5734 6200,Ms Mary Agostino,3753,5734 6222,Cr John Dougall,mitchell@mitchellshire.vic.gov.au,www.mitchellshire.vic.gov.au,"113 High Street, BROADFORD, 113 High Street, BROADFORD  3658"
